SE folder,Model,Train sample size,Error distance (50%) mm,Error distance (90%) mm,Error distance (95%) mm,Error distance (99%) mm,Error distance (avg) mm,Error std mm,oks mAP,Dataset
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0400.rep=1\models\230405_102206.multi_instance.n=446,400,0.5848102450241022,1.9917678234947127,2.683853331936409,3.5291826060679474,0.8495531913872449,0.8333877406247157,0.262532139450896,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0400.rep=2\models\230405_104503.multi_instance.n=446,400,0.5537487939180732,1.8846374967804609,2.390030251838015,3.33246776051112,0.8359571887339267,0.793990990138693,0.22598936272538722,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0600.rep=0\models\230405_121610.multi_instance.n=646,600,0.5722906966771711,1.8768265452388242,2.312732088416262,3.2809675220521806,0.8215827797687592,0.7500043509122907,0.2659624463410073,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0600.rep=1\models\230405_164845.multi_instance.n=646,600,0.57357159665053,1.698888506259037,2.3083955188272007,3.3502158243021882,0.7956337749358744,0.7600557624183202,0.26267562912859177,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0600.rep=2\models\230406_092401.multi_instance.n=646,600,0.5799963516287585,1.799368736023325,2.2271570506219818,3.5792863937522092,0.8051617739247453,0.7812760395633092,0.2805963237803107,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0005.rep=0\models\230418_160059.multi_instance.n=100,5,2.231637243772741,12.160896884263444,19.922385203979417,49.0640958416455,5.246106275039298,8.766923454108086,0.0005951526829701604,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0005.rep=1\models\230418_162540.multi_instance.n=100,5,2.2179208282801794,11.755109383937148,20.670208385660843,45.11459227333289,5.206353422655228,8.452858869854643,0.0005657708628005657,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0005.rep=2\models\230418_173333.multi_instance.n=100,5,2.6668173457324396,20.223948844629163,32.35764264896531,51.36127376898831,7.309441713310628,10.837334542082921,0.0008207399687337154,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0010.rep=0\models\230418_182056.multi_instance.n=105,10,2.0284755424068335,13.655813353004728,24.225014625860858,50.04574418950382,5.583970593013578,9.253776137331817,0.0025207693183111413,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0010.rep=1\models\230419_113022.multi_instance.n=105,10,2.376536318494602,11.494523857810467,22.305303193842192,44.30547927552636,5.128236896453804,8.410467035027876,0.003202490980805398,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0010.rep=2\models\230419_135124.multi_instance.n=105,10,1.8928247263828042,9.723082619927126,19.222135836977678,48.00849054851291,4.615245184824124,8.682166048166218,0.003734044364623816,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0020.rep=0\models\230420_105210.multi_instance.n=115,20,1.3398411139429904,9.878434964098302,21.11893659374088,45.972624702054425,4.261129036300615,8.248081908732694,0.008041465798724882,"Rice (3 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_main,sample_efficiency_plantwise_split_rice_3do_main\n=0020.rep=1\models\230420_113946.multi_instance.n=115,20,1.2110054296922543,7.533813326377775,11.844054934588394,40.74890715737544,3.3303205373664166,6.668436450531506,0.004178434528641883,"Rice (3 DAG, crown)"
